epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,2349.15,0.72294,0.45053,0.85619,0.85618,0.72024,0.77261,0.53691,1.07055,1.04396,0.97611,0.0007724,0.0007724,0.0007724
95,2373.87,0.66974,0.40178,0.81745,0.86311,0.72058,0.7793,0.53642,1.0606,1.02478,0.97471,0.0007592,0.0007592,0.0007592
96,2398.8,0.69017,0.39521,0.84749,0.8892,0.71548,0.78133,0.55511,1.05113,1.02487,0.97623,0.000746,0.000746,0.000746
97,2423.83,0.7103,0.40798,0.85633,0.88854,0.70231,0.76444,0.5326,1.07631,1.00588,0.97989,0.0007328,0.0007328,0.0007328
98,2448.71,0.68084,0.41344,0.85096,0.89494,0.71667,0.78928,0.554,1.04968,1.01267,0.97716,0.0007196,0.0007196,0.0007196
99,2473.68,0.681,0.39283,0.84644,0.84705,0.74405,0.7829,0.54047,1.08092,0.9962,0.98469,0.0007064,0.0007064,0.0007064
100,2498.48,0.67246,0.37441,0.84868,0.86457,0.73721,0.78178,0.54428,1.05768,0.98103,0.97562,0.0006932,0.0006932,0.0006932
101,2523.34,0.67647,0.42752,0.84724,0.88696,0.73793,0.80783,0.57522,1.03877,0.98548,0.97052,0.00068,0.00068,0.00068
102,2548.5,0.66833,0.38139,0.84509,0.88942,0.73729,0.79791,0.56024,1.03805,0.97199,0.97269,0.0006668,0.0006668,0.0006668
103,2573.36,0.65675,0.37088,0.84027,0.88884,0.71395,0.79619,0.57239,1.02412,1.02003,0.96892,0.0006536,0.0006536,0.0006536
104,2598.41,0.64278,0.36022,0.84154,0.86879,0.7252,0.77866,0.56159,1.01445,0.99825,0.96296,0.0006404,0.0006404,0.0006404
105,2623.24,0.65863,0.362,0.84567,0.87635,0.71786,0.78111,0.55916,1.01133,0.97661,0.96699,0.0006272,0.0006272,0.0006272
106,2648.06,0.6303,0.36491,0.83776,0.86092,0.75476,0.80092,0.58113,1.01892,0.99639,0.96486,0.000614,0.000614,0.000614
107,2672.97,0.64943,0.35961,0.83502,0.88966,0.74286,0.80957,0.58666,1.02462,1.00907,0.96172,0.0006008,0.0006008,0.0006008
108,2697.89,0.63455,0.47577,0.84081,0.89453,0.74714,0.80579,0.58928,1.01796,1.01483,0.96197,0.0005876,0.0005876,0.0005876
109,2722.89,0.63228,0.34586,0.83787,0.84295,0.73571,0.79116,0.56425,1.01965,0.97337,0.96774,0.0005744,0.0005744,0.0005744
110,2747.68,0.63053,0.35124,0.84061,0.87404,0.74346,0.79838,0.56993,1.01124,0.95748,0.97347,0.0005612,0.0005612,0.0005612
